"","vs_cb_wr","vs_cb_pos","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup"
"1","Julio Jones","Right Corner",10.5,54.2,"11.00","1.14","Y","minus"
"2","Russell Gage","Slot Corner",6.5,44.4,"10.00","0.89","N","minus"
"3","Calvin Ridley","Left Corner",9.8,53.3,"7.75","1.75","Y","plus"
"4","Miles Boykin","Right Corner",10.4,64,"14.81","2.31","N","plus"
"5","Willie Snead","Slot Corner",14.2,61.1,"13.64","1.78","N","plus"
"6","Marquise Brown","Left Corner",13.6,51.5,"13.76","1.59","N","plus"
"7","John Brown","Right Corner",8.1,63.6,"20.00","3.00","N","plus"
"8","Cole Beasley","Slot Corner",22.5,50,"13.00","1.31","N","minus"
"9","Stefon Diggs","Left Corner",12.7,60,"9.50","1.47","N","neutral"
"10","DJ Moore","Right Corner",20,69,"18.20","2.15","N","plus"
"11","Curtis Samuel","Slot Corner",12.1,57.6,"19.21","2.23","N","plus"
"12","Robby Anderson","Left Corner",9.4,78.9,"14.07","2.53","N","plus"
"13","Allen Robinson","Right Corner",12,69.6,"16.13","2.34","Y","plus"
"14","Anthony Miller","Slot Corner",10.6,66.7,"9.71","1.60","N","plus"
"15","Darnell Mooney","Left Corner",12.7,47.4,"11.89","1.04","N","minus"
"16","AJ Green","Right Corner",20.7,60,"12.97","1.62","N","plus"
"17","Tyler Boyd","Slot Corner",14.4,73.3,"8.36","1.75","N","plus"
"18","Tee Higgins","Left Corner",11.9,59.1,"16.62","2.39","N","plus"
"19","Rashard Higgins","Right Corner",10.7,68.8,"13.27","2.35","N","plus"
"20","Jarvis Landry","Slot Corner",11,68.2,"11.27","1.72","N","plus"
"21","Donovan PeoplesJones","Left Corner",11,64,"12.00","1.89","N","plus"
"22","Michael Gallup","Right Corner",8.8,81.3,"11.85","2.15","N","plus"
"23","CeeDee Lamb","Slot Corner",13.5,77.8,"11.50","2.01","N","plus"
"24","Amari Cooper","Left Corner",13.9,67.6,"12.00","1.65","Y","plus"
"25","KJ Hamler","Right Corner",11.9,70,"12.29","1.76","N","plus"
"26","Jerry Jeudy","Slot Corner",0,NA,"-","-","N","plus"
"27","Tim Patrick","Left Corner",15.6,50,"13.05","1.31","N","minus"
"28","Kenny Golladay","Right Corner",14.4,40.7,"15.73","1.27","N","minus"
"29","Danny Amendola","Slot Corner",10.7,52.4,"13.55","1.23","N","minus"
"30","Marvin Jones","Left Corner",13.2,61.1,"8.91","1.16","N","minus"
"31","Davante Adams","Right Corner",19.9,62.5,"12.80","2.18","N","plus"
"32","Darrius Shepherd","Slot Corner",15.3,65.5,"17.63","2.43","N","plus"
"33","Marquez ValdesScantling","Left Corner",25,71.4,"6.40","1.17","N","plus"
"34","Marcus Johnson","Right Corner",15.3,50,"13.94","1.20","N","minus"
"35","Zach Pascal","Slot Corner",13.5,69.6,"9.69","1.89","N","plus"
"36","TY Hilton","Left Corner",15.6,71.4,"13.40","2.53","N","plus"
"37","Demarcus Robinson","Right Corner",12.2,54.5,"10.67","1.13","N","minus"
"38","Tyreek Hill","Slot Corner",11.9,73.1,"9.68","1.44","N","neutral"
"39","Mecole Hardman","Left Corner",17.3,70.3,"12.69","2.08","N","plus"
"40","Mike Williams","Right Corner",16.4,55.3,"15.62","1.73","N","plus"
"41","Keenan Allen","Slot Corner",10,62.5,"9.60","1.23","N","minus"
"42","Jalen Guyton","Left Corner",9.1,50,"12.00","1.10","N","minus"
"43","Josh Reynolds","Right Corner",11.5,41.7,"13.00","0.96","N","minus"
"44","Cooper Kupp","Slot Corner",12,73.3,"15.55","1.87","N","plus"
"45","Robert Woods","Left Corner",11.4,39.1,"19.78","1.43","N","neutral"
"46","Nelson Agholor","Right Corner",15.3,54.2,"14.08","1.30","N","minus"
"47","Hunter Renfrow","Slot Corner",7.8,66.7,"9.17","1.28","N","minus"
"48","Henry Ruggs","Left Corner",13,52.6,"12.95","1.84","N","plus"
"49","Preston Williams","Right Corner",10.9,46.2,"9.00","1.34","N","minus"
"50","Isaiah Ford","Slot Corner",11.3,76,"11.53","1.64","N","plus"
"51","DeVante Parker","Left Corner",9.8,50,"16.18","1.58","N","plus"
"52","Justin Jefferson","Right Corner",11.9,66.7,"10.00","1.83","N","plus"
"53","Chad Beebe","Slot Corner",8.4,46.2,"11.33","0.98","N","minus"
"54","Adam Thielen","Left Corner",12.6,39.3,"10.73","1.03","Y","minus"
"55","Damiere Byrd","Right Corner",15,82.4,"9.43","1.95","N","plus"
"56","Gunner Olszewski","Slot Corner",14.5,75,"11.38","1.60","N","plus"
"57","Jakobi Meyers","Left Corner",8.3,57.9,"12.73","1.95","N","plus"
"58","Deonte Harris","Right Corner",14.1,43.9,"17.94","1.37","N","minus"
"59","TreQuan Smith","Slot Corner",16.1,65.7,"9.65","1.46","N","neutral"
"60","Austin Carr","Left Corner",13.4,53.8,"12.10","1.34","N","minus"
"61","Darius Slayton","Right Corner",13.9,56.7,"11.94","1.44","N","neutral"
"62","Golden Tate","Slot Corner",7.9,84.2,"14.50","2.69","N","plus"
"63","Sterling Shepard","Left Corner",13.5,50,"9.00","1.27","N","minus"
"64","Breshad Perriman","Right Corner",6.4,50,"7.00","0.85","N","minus"
"65","Braxton Berrios","Slot Corner",15.3,43.3,"13.46","1.42","N","minus"
"66","Denzel Mims","Left Corner",11.2,66.7,"12.00","2.47","N","plus"
"67","John Hightower","Right Corner",9.4,88.9,"11.88","1.94","N","plus"
"68","Greg Ward Jr","Slot Corner",12.6,68.2,"8.93","1.84","N","plus"
"69","Travis Fulgham","Left Corner",17.7,55.8,"17.75","1.83","Y","plus"
"70","Diontae Johnson","Right Corner",7.2,35.7,"6.60","0.59","N","minus"
"71","JuJu SmithSchuster","Slot Corner",17.1,62.8,"9.74","1.24","N","minus"
"72","Chase Claypool","Left Corner",10.6,50,"14.21","1.64","N","plus"
"73","DK Metcalf","Right Corner",17.9,51.9,"11.21","1.32","N","minus"
"74","Tyler Lockett","Slot Corner",12,70,"6.43","1.15","N","minus"
"75","David Moore","Left Corner",10.1,50,"9.63","0.98","N","minus"
"76","Brandon Aiyuk","Right Corner",16.1,48.1,"16.15","1.70","N","plus"
"77","Trent Taylor","Slot Corner",10.6,55.6,"11.00","1.17","N","minus"
"78","Kendrick Bourne","Left Corner",12.7,81,"14.47","2.27","N","plus"
"79","Mike Evans","Right Corner",13.3,55.6,"12.10","1.56","Y","neutral"
"80","Tyler Johnson","Slot Corner",8.9,59.1,"8.38","1.36","N","minus"
"81","Scotty Miller","Left Corner",10.6,58.8,"18.30","1.66","N","plus"
"82","AJ Brown","Right Corner",13.1,46.9,"10.53","1.34","Y","minus"
"83","Adam Humphries","Slot Corner",11.7,66.7,"15.58","2.04","N","plus"
"84","Corey Davis","Left Corner",21.3,73.3,"12.95","2.28","N","plus"
