"def_team","def_total_dvoa_rk","def_total_dvoa","def_total_dave_rk","def_total_dave","def_dvoa_rk","def_dvoa","def_dave_rk","def_dave","def_pass_dvoa_rk","def_pass_dvoa","def_rush_dvoa_rk","def_rush_dvoa","def_non_adj_voa","def_non_adj_pass_voa","def_non_adj_rush_voa","def_var_rk","def_var","def_sched_rk","def_sched","def_dline_adjusted_line_yards","def_dline_running_back_yards","def_dline_power_success_rate_rk","def_dline_power_success_rate","def_dline_open_field_yards_rk","def_dline_open_field_yards","def_dline_second_level_yards_rk","def_dline_second_level_yards","def_dline_stuffed_rate_rk","def_dline_stuffed_rate","def_dline_adjusted_sack_rate_rk","def_dline_sacks"
"NO",1,36.1,1,30.1,5,-17.3,4,-13.5,6,-5.1,1,-37.3,-13.2,1.1,-36.7,31,9.3,5,5.5,-0.93,3.4,8,59,13,0.55,2,0.94,2,24.9,4,24
"TB",2,29.9,2,24.9,1,-22,1,-17.6,1,-15.4,2,-32.9,-20.9,-14,-32.4,29,8.4,12,2,-0.84,3.02,29,78,2,0.27,1,0.74,7,21.1,3,32
"PIT",3,25,4,20.4,2,-20.4,3,-15.3,2,-15,6,-28.1,-25.9,-24.9,-27.2,24,6.7,31,-8.8,-0.88,4.13,18,67,28,1,15,1.19,3,24.5,1,36
"KC",4,23.7,3,23.8,14,-0.6,15,-0.8,7,-5.1,30,4.5,-2.4,-7.2,3.2,15,3.8,23,-3.1,0.36,4.52,30,79,17,0.62,20,1.24,31,11.3,19,19
"IND",5,23.1,5,18.1,4,-18.8,5,-12.5,4,-10.1,4,-29.9,-20.6,-13.4,-29.7,25,6.9,25,-4,-0.53,3.46,10,63,3,0.29,6,1.04,10,20.1,15,21
"BAL",6,17.2,6,14.6,6,-12.7,6,-8.4,10,-1.4,3,-30,-14.9,-4.9,-30.2,32,10.5,24,-3.6,-0.27,4.4,2,48,25,0.91,12,1.14,19,17,8,25
"GB",7,16,9,9.5,16,3.2,18,3.5,16,9,22,-4.3,6.2,14.1,-3.9,7,2.8,8,4.4,0.42,4.57,22,70,23,0.82,13,1.17,28,12.6,11,20
"SEA",8,15.7,7,13.5,23,7.2,21,3.9,26,22.1,9,-17.9,7,21.6,-17.7,2,1.4,13,1.7,-0.29,3.69,17,66,8,0.45,8,1.06,12,19.9,17,22
"LAR",9,14.5,8,11.8,8,-7.4,7,-7.3,9,-3.3,12,-13.4,-14.1,-11.2,-18.4,23,6.4,30,-8,0.42,4.03,23,71,4,0.29,4,0.96,32,10.9,6,31
"MIA",10,12.1,13,3.5,13,-1.6,14,-1.3,8,-4.5,29,2.3,-2.9,-9.6,6.2,27,7.4,11,2.3,0.43,4.49,26,74,11,0.53,21,1.25,25,13.3,13,22
"ARI",11,11.2,10,8.5,9,-5.1,9,-3.4,13,0.5,11,-14.2,-8.4,-2.5,-18,12,3.3,22,-2.8,-0.03,4.22,7,59,12,0.54,26,1.39,14,18.8,21,22
"BUF",12,5.2,11,4.9,17,3.6,16,0.5,14,7.3,23,-0.9,4.6,8.1,0.4,8,2.8,10,4.2,0.4,4.67,18,67,14,0.61,32,1.62,16,17.9,7,27
"MIN",13,4.3,14,2.4,10,-4.6,12,-2.6,11,-0.7,15,-9.9,2.2,13.3,-12.9,10,2.9,1,7.1,0.53,4.23,12,63,7,0.35,16,1.2,26,13.1,16,18
"LV",14,2.5,17,0.8,21,6.6,20,3.5,19,11.1,26,0.3,10.7,16.5,2.5,13,3.5,9,4.4,0.31,4.59,30,79,20,0.78,24,1.33,15,18.1,28,11
"SF",15,2.3,15,1.4,12,-3.4,10,-3.2,17,9.3,8,-20.3,-1.4,10.7,-17.6,26,7,15,1.3,-0.26,3.51,14,64,1,0.27,7,1.06,8,20.8,22,18
"TEN",16,2.2,12,3.7,24,8.9,24,5.3,25,20.6,19,-8,5.9,15.9,-8.6,11,3.1,27,-6.2,-0.07,4.44,15,65,26,0.94,19,1.21,17,17.7,31,11
"CAR",17,2,19,-1.3,27,9.8,30,9.9,24,17.2,25,-0.2,11.5,22,-2.6,1,0.9,4,5.8,0.42,4.88,25,73,30,1.19,23,1.31,18,17.5,25,11
"CHI",18,0,16,0.9,3,-19.8,2,-17.1,3,-12.8,5,-29.2,-13.4,-5.1,-24.7,5,2.3,2,6.9,-0.28,4.05,13,63,18,0.7,14,1.18,11,20,12,21
"DET",19,-3,18,-1.1,25,9.6,25,5.7,23,16.6,27,0.7,10.4,16.9,2.4,19,4.6,17,0.2,0.59,4.82,27,75,24,0.89,27,1.39,27,12.7,27,13
"ATL",20,-8.6,20,-2.9,22,7,22,4,28,22.8,7,-21.4,5.9,21,-21.3,16,4,16,0.2,-0.56,3.6,1,47,6,0.33,22,1.29,4,23.9,29,14
"CLE",21,-8.8,21,-6.9,18,3.6,19,3.5,20,12.2,18,-8.5,-2,3.9,-10.3,21,5,28,-7.2,0.11,3.86,16,66,5,0.32,9,1.08,22,14.8,18,22
"HOU",22,-9.1,22,-7.2,28,10,28,7.9,22,14.1,32,5.5,13.9,20.2,7,3,1.9,3,6.8,0.71,5.53,5,58,32,1.44,30,1.45,23,14.7,10,19
"LAC",23,-9.8,23,-8,19,4.9,17,3.4,15,8.4,24,-0.4,6.1,11.2,-1.9,22,5.3,14,1.7,0.29,4.87,3,50,27,0.95,29,1.41,9,20.2,23,16
"WAS",24,-13.9,27,-15,7,-10.4,8,-5.6,5,-8.8,14,-12.2,-8.2,-9.9,-6.3,30,8.6,26,-4.4,-0.24,4.14,27,75,15,0.61,17,1.21,13,19.6,2,28
"NE",25,-14.8,26,-12.1,32,16.6,32,13.3,30,27.5,31,5.2,14.7,26.4,2.5,28,7.9,19,-0.6,0.57,4.62,30,79,10,0.51,28,1.41,29,12.4,24,13
"NYG",26,-15.4,25,-11.8,26,9.7,27,7.7,27,22.6,16,-9,2.1,9.5,-8.6,6,2.8,32,-9.9,0.18,4.27,24,73,16,0.62,18,1.21,20,16.2,14,25
"JAX",27,-16.4,28,-15.4,31,13.2,29,9.5,31,30.2,20,-7.9,16.1,39.2,-12.6,9,2.8,7,4.6,-0.33,4.03,9,62,19,0.77,10,1.1,6,21.4,32,9
"DAL",28,-21,29,-18.5,20,6.4,23,5.1,18,10.9,28,0.9,5.4,7,3.4,17,4.1,21,-1.8,0.59,4.81,18,67,22,0.81,25,1.35,30,12.2,20,17
"PHI",29,-23,24,-11.3,15,1.3,13,-1.5,21,13.8,13,-13,-4.1,3.7,-13,18,4.4,29,-7.8,-0.72,3.37,6,59,9,0.48,3,0.96,1,26.1,5,31
"CIN",30,-26,30,-22,30,11.4,31,10.7,29,23,21,-5,11.6,22.2,-3.3,20,4.9,18,0,0.61,5.21,4,52,29,1.03,31,1.58,24,13.5,30,11
"DEN",31,-29.6,31,-22.5,11,-3.4,11,-2.9,12,0.5,17,-8.7,-0.8,6.4,-10.8,14,3.7,6,5.1,0,4.25,21,70,21,0.79,5,1.02,21,15.1,9,22
"NYJ",32,-38.1,32,-29.6,29,10.5,26,7.5,32,33.4,10,-16,12.1,38.5,-18.5,4,2.2,20,-1.4,-0.65,4.41,10,63,31,1.21,11,1.13,5,21.7,26,11
